"AreaTableId","MapId","ParentAreaTableId","AreaBit","Flags","Col5","Flag2","SoundProviderPref","SoundProviderPrefUnderwater","Col09","AmbienceID","ZoneMusic","ZoneName","STRING_FLAGS1","Team","LiquidTypeOverride1","LiquidTypeOverride2","LiquidTypeOverride3","LiquidTypeOverride4","MinElevation","AmbientMultiplier","MountFlags","UwIntroSound","UwAmbience","WorldPvpId","PvpCombatWorldStateID","WildBattlePetLevelMin","WildBattlePetLevelMax","WindSettingsID","Col29"
1,0,0,119,16449,0,0,11,598,759,1,0,0,"Dun Morogh",2,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,1,2
2,0,40,120,2.003922,0,0,11,567,9,22,0,0,"Longshore",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
3,0,0,121,16448,0,0,11,606,738,32,0,0,"Badlands",0,0,0,0,0,-500,0.1,0,15,0,0,675,0,0,13,14
4,0,0,122,16448,0,0,11,210,7,41,0,0,"Blasted Lands",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,16,17
7,0,5287,123,2.003922,0,0,11,0,3,68,0,0,"Blackwater Cove",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
8,0,0,124,16448,0,0,11,33,223,98,0,0,"Swamp of Sorrows",0,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,14,15
9,0,6170,125,2.753906,0,0,11,35,1,130,674,0,"Northshire Valley",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
10,0,0,617,16448,0,0,11,572,2,165,0,0,"Duskwood",0,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,5,7
11,0,0,618,16448,0,0,11,603,637,174,0,0,"Wetlands",0,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,6,7
12,0,0,126,16448,0,0,11,604,1,183,670,0,"Elwynn Forest",2,0,0,0,0,-500,0,0,15,0,0,675,0,0,1,2
13,0,10,555,2.003922,0,0,11,48,11,210,0,0,"The World Tree",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
14,1,0,127,16448,0,0,11,569,890,238,0,0,"Durotar",4,0,0,0,0,-500,0.4,0,15,0,0,675,0,0,1,2
15,1,0,128,16448,0,0,11,586,590,246,0,0,"Dustwallow Marsh",0,0,0,0,0,-500,0.4,0,15,0,0,675,0,0,12,13
16,1,0,129,16448,0,0,11,570,858,274,756,0,"Azshara",4,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,3,6
17,1,0,130,16448,0,0,11,629,800,282,0,0,"Northern Barrens",4,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,3,4
18,0,12,131,2.003922,0,0,11,35,1,310,0,7,"Crystal Lake",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
19,0,33,574,2.004898,0,0,11,32,713,335,0,40,"Zul'Gurub",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
20,0,40,132,2.003922,0,0,11,0,9,345,0,14,"Moonbrook",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
21,0,0,133,16448,0,0,11,0,8,355,0,0,"Kul Tiras",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
22,451,0,547,16448,0,0,11,38,2,374,0,0,"Programmer Isle",0,1,0,0,0,-500,0,0,14,0,0,675,0,3499,0,0
23,0,12,134,2.253922,0,0,11,35,0,405,0,0,"Northshire River",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
24,0,6170,135,2.753922,0,73,11,35,1,438,0,0,"Northshire Abbey",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
25,0,0,136,16448,0,0,11,46,10,471,0,0,"Blackrock Mountain",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,15,17
26,0,40,602,2.003922,0,0,11,0,7,508,0,0,"Lighthouse",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
28,0,0,137,16448,0,0,11,634,635,519,0,0,"Western Plaguelands",0,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,10,11
30,0,0,138,16448,0,0,11,0,0,558,0,0,"Nine",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
32,0,10,139,2.003922,0,0,11,0,2,563,0,0,"The Cemetary",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
33,0,5339,140,16448,0,0,11,600,3,588,0,0,"Northern Stranglethorn",0,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,7,9
34,0,6170,141,2.003906,0,0,11,35,1,631,0,0,"Echo Ridge Mine",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
35,0,5287,142,2.503922,0,0,11,567,3,661,638,42,"Booty Bay",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
36,0,267,143,2.003922,0,0,11,594,743,680,0,0,"Alterac Mountains",0,0,0,0,0,-500,0.5,0,15,0,0,675,0,0,0,0
37,0,33,144,2.003922,0,0,11,579,3,715,0,36,"Lake Nazferiti",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
38,0,0,145,16448,0,0,11,616,792,744,0,0,"Loch Modan",2,0,0,0,0,-500,0.1,0,15,0,0,675,0,0,3,6
40,0,0,146,16448,0,0,11,602,9,765,0,0,"Westfall",2,0,0,0,0,-500,0.1,0,15,0,0,675,0,0,3,4
41,0,0,556,16448,0,0,11,597,2,774,0,0,"Deadwind Pass",0,0,0,0,0,-500,0.3,0,15,0,0,675,0,0,17,18
42,0,10,147,2.503922,0,0,11,0,770,801,0,25,"Darkshire",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
43,0,5287,148,2.003922,0,0,11,567,3,811,0,42,"Wild Shore",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
44,0,0,149,16448,0,0,11,31,747,832,0,0,"Redridge Mountains",0,0,0,0,0,-500,0.2,0,15,0,0,675,0,0,4,6
45,0,0,150,16448,0,0,11,615,609,869,0,0,"Arathi Highlands",0,0,0,0,0,-500,0.2,0,15,0,0,675,0,0,7,8
46,0,0,151,16448,0,0,11,596,725,902,0,0,"Burning Steppes",0,0,0,0,0,-500,0.1,0,15,0,0,675,0,0,15,16
47,0,0,152,16448,0,0,11,605,1,933,0,0,"The Hinterlands",0,0,0,0,0,-500,0.4,0,15,0,0,675,0,0,11,12
49,451,22,153,2.000015,0,0,11,0,0,964,0,0,"Dead Man's Hole",0,0,0,0,0,-500,0,0,13,0,0,675,0,0,0,0
51,0,0,154,16448,0,0,11,46,10,993,0,0,"Searing Gorge",0,0,0,0,0,-500,0.1,0,15,0,0,675,0,0,13,14
53,0,12,155,2.003922,0,0,11,35,1,1020,0,0,"Thieves Camp",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
54,0,12,550,2.003922,0,0,11,35,1,1045,0,8,"Jasperlode Mine",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
55,0,12,156,2.003922,0,0,11,35,13,1076,61,0,"Valley of Heroes UNUSED",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
56,0,12,157,2.003922,0,0,11,35,1,1121,673,0,"Heroes' Vigil",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
57,0,12,158,2.003922,0,0,11,35,1,1148,0,5,"Fargodeep Mine",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
59,0,6170,159,2.253906,0,0,11,582,785,1177,0,0,"Northshire Vineyards",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
60,0,12,606,2.003922,0,0,11,35,1,1218,0,8,"Forest's Edge",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
61,0,12,160,2.003922,0,0,11,35,1,1245,0,0,"Thunder Falls",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
62,0,12,161,2.003922,0,0,11,35,1,1272,671,8,"Brackwell Pumpkin Patch",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
63,0,12,162,2.003922,0,0,11,35,1,1309,0,6,"The Stonefield Farm",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
64,0,12,163,2.003922,0,0,11,35,1,1347,676,6,"The Maclure Vineyards",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
65,571,0,164,16452,0,0,11,439,412,1389,545,0,"Dragonblight",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,22,23
66,571,0,165,16452,0,0,11,441,423,1402,544,76,"Zul'Drak",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,22,23
67,571,0,166,16449,0,0,11,465,420,1419,0,77,"The Storm Peaks",0,0,0,0,0,-500,0.6,0,15,0,0,675,0,0,22,23
68,0,44,557,2.003922,0,0,11,0,1,1449,0,16,"Lake Everstill",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
69,0,44,167,2.503922,0,0,11,0,1,1478,0,15,"Lakeshire",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
70,0,44,168,2.003922,0,0,11,0,1,1488,0,24,"Stonewatch",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
71,0,44,627,2.003922,0,0,11,0,1,1499,0,20,"Stonewatch Falls",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
72,0,4,169,2.003922,0,0,11,210,7,1532,649,63,"The Dark Portal",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
73,0,4,170,2.003922,0,0,11,0,731,1562,0,50,"The Tainted Scar",0,0,0,0,0,-500,0,0,15,0,0,675,0,0,0,0
